,OBJECTID,NUEVOS_CASOS,TOTAL_CASOS,TOTAL_MUERTES,TOTAL_RECUPERADOS,FECHA_ACTUALIZACION,GlobalID,NUEVOS_MUERTOS,NUEVO_RECUPERADOS,CLEAN_DAY
0,484,1.0,1,0,0,1583470800000,f41dd902-d929-4524-88ba-0a9779a96f61,0,0,False
1,485,0.0,1,0,0,1583557200000,b539050d-ba91-4c46-9bf0-674cb3054f12,0,0,True
2,486,0.0,1,0,0,1583643600000,63fa5cd8-c126-41b4-9049-3317a53e5476,0,0,True
3,487,2.0,3,0,0,1583730000000,46015e73-bbca-4117-bb64-26eea60add3d,0,0,False
4,488,0.0,3,0,0,1583816400000,bddd6bcd-ef1d-407b-9ff7-c425dbc7e854,0,0,True
5,489,6.0,9,0,0,1583902800000,dfd0181b-4698-4288-a4dc-8bf0c87260a1,0,0,False
6,490,4.0,13,0,0,1583989200000,f4c7746e-7a54-43e5-98a0-ecf1a24bcfef,0,0,False
7,491,3.0,16,0,0,1584075600000,c94baaf9-e3a9-46ef-98f2-336b08cd2304,0,0,False
8,492,8.0,24,0,0,1584162000000,1fa4af38-9203-4366-9824-e4c6332a32a9,0,0,False
9,493,21.0,45,0,0,1584248400000,87035b93-f4d6-47eb-9589-b7316a9f0e3d,0,0,False
10,494,12.0,57,0,0,1584334800000,fedafe15-dd29-4db2-b114-4906696c5126,0,0,False
11,495,18.0,75,0,0,1584421200000,d2f765c5-b5c9-471f-ba89-3c08985e9bcf,0,0,False
12,496,27.0,102,0,0,1584507600000,18654898-243a-4522-9987-acfcc759269c,0,0,False
13,497,26.0,128,0,0,1584594000000,1493a041-1f64-4e81-8509-ccd634cab747,0,0,False
14,498,47.0,175,0,0,1584680400000,08e0e3a0-d66e-41a0-b623-a45994867a2c,0,0,False
15,499,35.0,210,1,0,1584766800000,cc86013b-f7d1-456b-9674-219c24916c5c,1,0,False
16,500,30.0,240,2,0,1584853200000,ea1c86ba-1707-47be-b14e-2e81fa98a8a9,1,0,False
17,501,66.0,306,3,6,1584939600000,ada22c98-e441-4a43-a414-17ea4603cbb5,1,6,False
18,502,113.0,419,3,6,1585026000000,d7da10fc-d903-482d-9565-4b8ea9234cb8,0,0,False
19,503,62.0,481,4,8,1585112400000,c96ed684-0bba-4a02-8f4c-aed22fe5dad7,1,2,False
20,504,10.0,491,6,8,1585198800000,9fe5b53e-69ca-4af1-ab5c-7a5bb1e50692,2,0,False
21,505,48.0,539,6,10,1585285200000,4d2497d1-fb75-40c7-acfe-cd378a405fb6,0,2,False
22,506,69.0,608,6,10,1585371600000,f8321e6a-6242-45ca-9c0e-bf2d177a484f,0,0,False
23,507,94.0,702,10,10,1585458000000,6927af43-907d-4d77-90b6-1b12a94e39c3,4,0,False
24,508,96.0,798,14,15,1585544400000,55bc5fff-7b74-4811-a52f-ae372bf81993,4,5,False
25,509,108.0,906,16,31,1585630800000,ec314fb4-0924-4420-849c-28bde0efa248,2,16,False
26,510,159.0,1065,17,39,1585717200000,74a55f71-fa30-4f05-b995-0ab65575a371,1,8,False
27,512,96.0,1161,19,55,1585803600000,9fe4e7a4-650a-4928-8e64-d28db13b99c1,2,16,False
28,513,106.0,1267,25,55,1585890000000,f71572a2-6cf9-4e20-befd-bce2095a2e24,6,0,False
29,514,139.0,1406,32,85,1585976400000,b487fec8-87b7-4b2e-b01b-14087985be2a,7,30,False
30,515,79.0,1485,35,88,1586062800000,67fa61b7-e192-40d4-9d12-6c679d37ec1f,3,3,False
31,516,94.0,1579,46,88,1586149200000,c47e26c9-2c8c-4abd-aad2-e3b12b72ede9,11,0,False
32,517,201.0,1780,50,100,1586235600000,a344a536-50db-4ef3-be52-ba4e27231fec,4,12,False
33,518,274.0,2054,54,123,1586322000000,0f9e698a-6dbe-47f9-b8a9-5b620b0d93c0,4,23,False
34,519,169.0,2223,69,174,1586408400000,e073d696-170a-4ff4-81e4-3b7cee3ef0cf,14,51,False
35,520,250.0,2473,80,197,1586494800000,daeeb1a3-997a-40bb-941c-4dec3cf859c6,11,23,False
36,521,236.0,2709,100,214,1586581200000,212cfce2-7eaa-44fb-bb33-3cac41e21571,20,17,False
37,522,67.0,2776,109,270,1586667600000,1b63a594-5eed-4b4c-8a08-d34d2f68e7b8,9,56,False
38,523,76.0,2852,112,319,1586754000000,4d231d2f-127b-411e-9fdb-78cffacee7f4,3,49,False
39,524,127.0,2979,127,354,1586840400000,107b65d2-569c-4dde-9faa-02968ba72f61,15,35,False
40,525,126.0,3105,131,452,1586926800000,a68bf8c6-44f7-4e49-bc63-f885f50ed160,4,98,False
41,526,128.0,3233,144,550,1587013200000,e0efe85e-fb1c-4ed2-8309-4e7a2568b950,13,98,False
42,527,206.0,3439,153,634,1587099600000,cc450a25-9922-48f1-883a-a8e6556b1d64,9,84,False
43,528,182.0,3621,166,691,1587186000000,9d4772ca-96c3-4113-a2f5-7d03078d8ed1,13,57,False
44,530,171.0,3792,179,711,1587272400000,5296232c-5f4b-4af7-89ca-260913e0a37c,13,20,False
45,531,185.0,3977,189,804,1587358800000,c1df5b16-d5d9-47e0-b350-0045f75ba414,10,93,False
46,532,172.0,4149,196,804,1587445200000,ce7f7e84-9dd7-4513-91f0-463541d8e20d,7,0,False
47,533,207.0,4356,206,870,1587531600000,028ce012-b711-4333-b45e-d5fdf11d642a,10,66,False
48,534,205.0,4561,215,927,1587618000000,87523e21-4d3c-461a-be5f-ab88404e0a7a,9,57,False
49,535,320.0,4881,225,1003,1587704400000,5d477873-241e-4574-afd3-544321cf61df,10,76,False
50,536,261.0,5142,233,1067,1587790800000,3f5da9af-8088-48e9-93a6-b72cb381bfab,8,64,False
51,537,237.0,5379,244,1133,1587877200000,f75c6973-9f9c-4188-9884-8157ce31101a,11,66,False
52,538,218.0,5597,253,1210,1587963600000,5b3cf389-4d93-4c35-b860-e61483687887,9,77,False
53,539,352.0,5949,269,1268,1588050000000,b5879fe5-752b-4c48-ab65-00c2587c218c,16,58,False
54,540,258.0,6211,278,1411,1588136400000,bc35dd92-ba8f-4299-bb23-22dded03d8fa,9,143,False
55,541,296.0,6507,293,1439,1588222800000,3ccef778-5bdb-40f4-8811-95882ab56973,15,28,False
56,542,499.0,7006,314,1551,1588309200000,2bc375f8-c097-4c51-a672-4cad42563380,21,112,False
57,543,279.0,7285,324,1666,1588377600,2b9d7508-4221-444d-9650-cb6e32985a7d,10,115,False
